InstrumentID,TradingDay,ActionDay,UpdateTime,LastPrice,PreSettlementPrice,PreClosePrice,PreOpenInterest,OpenPrice,HighPrice,LowPrice,Volume,Turnover,OpenInterest,ClosePrice,SettlementPrice,UpperLimitPrice,LowerLimitPrice,PreDelta,CurrDelta,AveragePrice,BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5
fu2302,20230104,20230103,20:59:00.500,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2593.0,2,2588.0,1,2586.0,1,2576.0,1,2570.0,1,2638.0,11,2641.0,13,2653.0,1,2666.0,1,2669.0,1
fu2302,20230104,20230103,21:00:00.500,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2594.0,2,2593.0,2,2586.0,1,2576.0,1,2570.0,1,2637.0,1,2638.0,11,2641.0,13,2653.0,1,2669.0,1
fu2302,20230104,20230103,21:00:01.000,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2595.0,1,2594.0,2,2593.0,2,2586.0,1,2576.0,1,2637.0,1,2638.0,11,2653.0,1,2669.0,1,2673.0,2
fu2302,20230104,20230103,21:00:01.500,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2596.0,2,2595.0,1,2593.0,2,2586.0,1,2576.0,1,2636.0,1,2637.0,1,2638.0,11,2653.0,1,2669.0,1
fu2302,20230104,20230103,21:00:02.000,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2597.0,1,2596.0,1,2593.0,2,2586.0,1,2576.0,1,2635.0,1,2636.0,1,2638.0,11,2653.0,1,2669.0,1
fu2302,20230104,20230103,21:00:02.500,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2598.0,1,2597.0,1,2593.0,2,2586.0,1,2576.0,1,2634.0,1,2635.0,1,2638.0,11,2640.0,1,2653.0,1
fu2302,20230104,20230103,21:00:03.000,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2598.0,1,2597.0,1,2593.0,2,2586.0,1,2579.0,1,2628.0,3,2629.0,2,2633.0,1,2634.0,1,2638.0,11
fu2302,20230104,20230103,21:00:03.500,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2598.0,1,2597.0,1,2593.0,2,2586.0,2,2579.0,1,2627.0,1,2628.0,3,2634.0,1,2638.0,11,2640.0,1
fu2302,20230104,20230103,21:00:04.000,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2599.0,2,2598.0,1,2593.0,2,2586.0,2,2576.0,1,2627.0,3,2634.0,1,2638.0,11,2640.0,1,2653.0,1
fu2302,20230104,20230103,21:00:04.500,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2600.0,1,2599.0,1,2593.0,2,2586.0,2,2576.0,1,2627.0,2,2634.0,1,2638.0,11,2640.0,1,2653.0,1
fu2302,20230104,20230103,21:00:05.000,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2600.0,1,2599.0,1,2593.0,2,2587.0,1,2586.0,2,2627.0,2,2631.0,1,2634.0,1,2638.0,11,2640.0,1
fu2302,20230104,20230103,21:00:05.500,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2600.0,1,2599.0,1,2593.0,2,2587.0,1,2586.0,2,2627.0,3,2631.0,1,2634.0,1,2638.0,11,2640.0,1
fu2302,20230104,20230103,21:00:06.000,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2600.0,1,2599.0,1,2593.0,2,2586.0,2,2581.0,1,2627.0,4,2631.0,1,2634.0,1,2638.0,11,2640.0,1
fu2302,20230104,20230103,21:00:06.500,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2600.0,1,2599.0,1,2593.0,2,2586.0,2,2584.0,1,2626.0,1,2627.0,3,2631.0,1,2634.0,1,2638.0,11
fu2302,20230104,20230103,21:00:07.000,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2600.0,1,2599.0,1,2593.0,2,2586.0,2,2581.0,1,2626.0,4,2631.0,1,2634.0,1,2638.0,11,2640.0,1
fu2302,20230104,20230103,21:00:08.000,2643.0,2643.0,2643.0,3990,,,,0,0.0,3990,,,2986.0,2299.0,,,,2600.0,1,2599.0,1,2593.0,2,2586.0,2,2583.0,1,2625.0,1,2626.0,3,2631.0,1,2634.0,1,2638.0,11
fu2302,20230104,20230103,21:00:08.500,2593.0,2643.0,2643.0,3990,2600.0,2600.0,2593.0,5,129780.0,3990,,,2986.0,2299.0,,,,2586.0,2,2581.0,1,2579.0,1,2576.0,1,2570.0,1,2593.0,2,2624.0,2,2625.0,2,2631.0,1,2634.0,1
fu2302,20230104,20230103,21:00:09.000,2593.0,2643.0,2643.0,3990,2600.0,2600.0,2593.0,7,181640.0,3989,,,2986.0,2299.0,,,,2587.0,2,2586.0,2,2579.0,1,2576.0,1,2570.0,1,2624.0,1,2631.0,1,2634.0,1,2638.0,11,2639.0,1
